Index, Network Condition Level, Bandwidth (Mbps), Latency (ms), Jitter (ms), Set PLR (%), Mean_Throughput (Mbps), Max_Throughput (Mbps), Mean_Latency (ms), Max_Latency (ms), Mean Jitter (ms), Max_Jitter(ms), Measured PLR, PSNR(dB), SSIM, Task Time (s), Success_Flag（0/1）
1,low,10,1000,200,3.0,0.62,1.54,803.93,971.55,220.84,1213.25,3.1%,12.403,0.734,390,1
2,low,10,1000,200,3.0,0.55,1.42,825.12,1023.40,238.12,1298.54,3.3%,11.876,0.712,N/A,0
3,low,10,1000,200,3.0,0.58,1.48,832.30,1056.78,252.55,1342.67,3.2%,10.952,0.695,N/A,0
4,low,10,1000,200,3.0,0.64,1.58,797.85,965.40,218.33,1188.44,3.0%,12.805,0.745,371,1
5,low,10,1000,200,3.0,0.57,1.47,840.62,1044.29,245.76,1326.18,3.4%,11.302,0.702,N/A,0
6,low,10,1000,200,3.0,0.52,1.44,829.10,1011.65,231.48,1284.70,3.3%,10.415,0.673,N/A,0
7,low,10,1000,200,3.0,0.63,1.60,801.22,974.33,223.14,1205.55,3.1%,12.568,0.741,358,1
8,low,10,1000,200,3.0,0.56,1.46,846.78,1062.87,249.82,1334.91,3.2%,11.078,0.682,N/A,0
9,low,10,1000,200,3.0,0.53,1.43,835.64,1048.12,236.29,1301.77,3.4%,9.952,0.660,N/A,0
10,low,10,1000,200,3.0,0.66,1.61,792.55,959.20,216.99,1179.68,2.9%,12.997,0.748,353,1
11,low,10,1000,200,3.0,0.58,1.49,843.21,1065.40,250.04,1348.20,3.1%,11.728,0.708,N/A,0
12,low,10,1000,200,3.0,0.65,1.59,798.33,970.44,221.78,1196.23,3.0%,12.455,0.739,362,1
13,low,10,1000,200,3.0,0.60,1.53,819.45,1005.32,233.41,1275.50,3.2%,10.896,0.688,N/A,0
14,low,10,1000,200,3.0,0.54,1.48,830.02,1020.77,240.89,1299.35,3.3%,10.234,0.670,N/A,0
15,low,10,1000,200,3.0,0.62,1.57,804.10,972.11,224.40,1210.14,2.9%,12.301,0.736,388,1
16,low,10,1000,200,3.0,0.56,1.50,848.30,1071.28,254.67,1355.44,3.3%,10.765,0.675,N/A,0
17,low,10,1000,200,3.0,0.59,1.51,826.67,1013.44,235.22,1278.63,3.1%,11.501,0.701,N/A,0
18,low,10,1000,200,3.0,0.64,1.58,795.88,966.90,219.74,1184.57,3.1%,12.690,0.744,365,1
19,low,10,1000,200,3.0,0.57,1.46,838.44,1042.28,242.58,1310.32,3.2%,10.928,0.690,N/A,0
20,low,10,1000,200,3.0,0.55,1.45,845.19,1056.61,248.10,1329.10,3.4%,10.675,0.684,N/A,0
21,low,10,1000,200,3.0,0.63,1.56,802.14,969.55,223.08,1203.45,3.0%,12.380,0.738,399,1
22,low,10,1000,200,3.0,0.60,1.52,828.78,1022.33,238.76,1289.77,3.2%,11.231,0.708,N/A,0
23,low,10,1000,200,3.0,0.53,1.44,834.89,1046.09,241.55,1302.22,3.3%,10.121,0.665,N/A,0
24,low,10,1000,200,3.0,0.65,1.60,799.11,968.90,219.05,1189.33,3.0%,12.724,0.745,376,1
25,low,10,1000,200,3.0,0.58,1.50,842.55,1060.40,247.77,1338.15,3.4%,11.342,0.699,N/A,0
26,low,10,1000,200,3.0,0.66,1.62,790.34,952.78,214.82,1167.90,2.8%,13.065,0.752,357,1
27,low,10,1000,200,3.0,0.54,1.42,849.88,1075.20,256.11,1362.34,3.3%,10.543,0.672,N/A,0
28,low,10,1000,200,3.0,0.56,1.48,837.12,1038.44,244.33,1315.11,3.2%,11.012,0.689,N/A,0
29,low,10,1000,200,3.0,0.61,1.55,806.77,977.55,226.66,1220.67,3.1%,12.215,0.733,402,1
